"employer","num_vacancies","avg_salary_from","avg_salary_to","employment","schedule"
СБЕР,134,125500.00,130666.67,Полная занятость,Полный день
WILDBERRIES,19,180000.00,220000.00,Полная занятость,Полный день
Okko,13,,,Полная занятость,Полный день
Марс,10,,,Полная занятость,Полный день
"МАГНИТ, Розничная сеть",8,,,Полная занятость,Удаленная работа
Maxim technology,8,,,Полная занятость,Полный день
Московская Биржа,8,,,Полная занятость,Полный день
WILDBERRIES,8,,,Полная занятость,Удаленная работа
МТС,7,,,Полная занятость,Полный день
KONNEKTU,6,,113333.33,Полная занятость,Полный день
Ozon,6,,,Полная занятость,Полный день
билайн,6,,,Полная занятость,Полный день
Медиапоинт,6,,,Полная занятость,Полный день
«UZUM TECHNOLOGIES».,5,,,Полная занятость,Удаленная работа
USETECH,5,,,Полная занятость,Полный день
Finstar Financial Group,5,222062.50,280500.00,Полная занятость,Полный день
"Лента, федеральная розничная сеть",5,,,Полная занятость,Удаленная работа
Самокат (ООО Умный ритейл),4,,,Полная занятость,Полный день
Центральный банк Российской Федерации,4,,,Полная занятость,Полный день
StudyWorld,4,,,Полная занятость,Полный день
